Insulin-like peptide receptor,K05087 
Probable sulfite reductase [NADPH] flavoprotein component,nan
Putative uncharacterized protein,K16743
Lipid droplet phospholipase 1,nan
Intraflagellar transport protein 172 homolog,K19676
Zinc finger Y-chromosomal protein 2,K24371
Probable FMNH2-dependent monooxygenase SfnC,K00249
UPF0309 protein ABC0887,nan
Eukaryotic translation initiation factor 2 subunit gamma,K03242
Receptor expression-enhancing protein 2,K17338
Chymotrypsin inhibitor Ani s 6,K23624
Pyranose dehydrogenase 3,K00108
Thrombin inhibitor rhodniin,K06238
Putative uncharacterized protein,K15133
Fucolectin-1,K05695
Phosphoglucomutase-2,K09530
Putative glycosyltransferase EpsE,nan
Catalase-peroxidase,nan
Murein DD-endopeptidase MepM,nan
Myocyte-specific enhancer factor 2,K09260
Cyclic nucleotide-gated channel cone photoreceptor subunit alpha,K04910
Multiple myeloma tumor-associated protein 2 homolog,nan
D-proline reductase proprotein PrdA,nan
Alpha-catulin,nan
Putative uncharacterized protein,K24341
Fucolectin-1,K06560
50S ribosomal protein L1,K02863
S-adenosyl-L-methionine-dependent uroporphyrinogen III methyltransferase,nan
Autophagy-related protein 27,K09550
Chaperone protein DnaJ,K09517
Putative uncharacterized protein,K17702
Putative uncharacterized protein,K01077
"Dystrophin, isoform E",K10366
Uncharacterized protein ZC84.1,K10809
Histidine protein methyltransferase 1 homolog,K21805
Envelope fusion protein,K10843
Mitochondrial 37S ribosomal protein S27,nan
Somatostatin receptor type 1,K05052
Putative vitellogenin receptor,K14615
G protein-coupled receptor kinase 2,K08291
Fibroblast growth factor receptor 2,K05093
P18 protein,nan
tRNA pseudouridine synthase B,K11131
PR domain zinc finger protein 10,K24501
RNA-binding protein MEX3A,K15686
Probable RNA-directed DNA polymerase from transposon X-element,K22655
Homocysteine S-methyltransferase,K00547
Ferredoxin-type protein NapG,nan
Galactoside transport system permease protein MglC,K00061
Serine/threonine-protein phosphatase 2B catalytic subunit 1,K04348
Uncharacterized protein C2F12.12c,nan
Peptidyl-prolyl cis-trans isomerase FKBP65,K20097
RCC1 and BTB domain-containing protein 2,K13196
Altered inheritance of mitochondria protein 32,nan
Putative uncharacterized protein,K14326
Serine/threonine-protein kinase PknB,K06228
2-alkyl-3-oxoalkanoate reductase,nan
ATP-binding cassette sub-family B member 5,K05657
Retrovirus-related Pol polyprotein from transposon 297,K06065
Probable ATP-dependent helicase lhr,K20096
Putative uncharacterized protein,K14808
Tetracycline repressor protein class E,nan
Neuronal PAS domain-containing protein 4-like,K09095
Mast cell protease 8,K01312
Integral inner nuclear membrane protein ima1,nan
Calcyphosin-like protein,K23909
A disintegrin and metalloproteinase with thrombospondin motifs 19,K08622
Heterogeneous nuclear ribonucleoprotein K homolog,K12886
Oligopeptide transport ATP-binding protein OppF,K02021
Uncharacterized ABC transporter ATP-binding protein YfiB,K05655
CTD kinase subunit beta,K23966
Bombyxin A-2 homolog,K04526
Probable dihydroorotate dehydrogenase A (fumarate),K00254
Probable RNA-binding protein 18,K24527
Macrolide export ATP-binding/permease protein MacB,K00803
"1,2-epoxyphenylacetyl-CoA isomerase",nan
Adhesion G protein-coupled receptor E5,K17307
Maternal protein pumilio,K17943
Putative BEN domain-containing protein B1,K03671
Putative uncharacterized protein,K16665
BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,K18449
Putative uncharacterized protein,K03028
Integrator complex subunit 13,K22614
Insecticyanin-A,K03098
Cytochrome P450 monooxygenase PC-21,nan
Alcohol dehydrogenase 1,K00008
Zinc finger CCCH domain-containing protein 45,K20099
Interleukin enhancer-binding factor 3,K13194
Succinate dehydrogenase iron-sulfur subunit,nan
Bifunctional protein gal10,K01785
Sortilin-related receptor (Fragment),K09614
Formin-binding protein 4,nan
Zinc finger protein zas1,nan
"WD repeat, SAM and U-box domain-containing protein 1",nan
Ribose import ATP-binding protein RbsA 3,K05642
Sterol regulatory element-binding protein 1,K07197
Extracellular signal-regulated kinase 1,K04464
Putative uncharacterized protein,K16474
Protein transport protein sec23,K14006
Dephospho-CoA kinase CAB5,K00859
Putative uncharacterized protein,K13135
Calpain-9,K08585
Uridylate kinase,K13800
"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",K04405
Carbonic anhydrase 2,nan
Putative uncharacterized protein,K07204
Putative uncharacterized protein,K15010
Uncharacterized protein TM_1158.1,nan
Serine/threonine-protein kinase psk1,K16510
TM2 domain-containing protein DDB_G0287015,nan
Proline iminopeptidase,K01259
Transcription factor Ken,K10513
"28S ribosomal protein L42, mitochondrial",K17423
Chitin synthase 6,nan
Sodium/potassium-transporting ATPase subunit beta-233,K01540
Homeobox protein DLL homolog,K18488
Phosphogluconate dehydratase,K01687
D-xylose-proton symporter,K14258
ATP-dependent DNA helicase RecQ,K10899
Type II secretion system protein J,nan
Glycine betaine/proline betaine transport system ATP-binding protein ProV,nan
Putative NAD(P)H nitroreductase YdgI,K17231
Enhancer of split mbeta protein,K09090
Protein boule-like,K14411
Ribose import ATP-binding protein RbsA 1,K05647
"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (Fragment)",K00078
Rab-3-interacting molecule unc-10,K15297
CD180 antigen,K18809
Proto-oncogene tyrosine-protein kinase Src,K05704
DENN domain-containing protein 5B,K20164
Mycothiol S-conjugate amidase,nan
Sodium channel protein Nach (Fragment),K03440
"Probable NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",K03935
Glutactin,K07378
Putative uncharacterized protein,K04131
Probable glycine betaine transporter,nan
UPF0053 protein YugS,nan
Uncharacterized protein RF_0624,nan
Adenylate cyclase type 1,K12323
Prostaglandin reductase 1,K13948
Protein phosphatase 1 regulatory subunit 12C,K06270
Putative uncharacterized protein,K08064
N-acetylmuramoyl-L-alanine amidase CwlH,nan
Protein kinase C,K18050
Activating signal cointegrator 1 complex subunit 2,K18667
Transposable element Tcb2 transposase,K14799
Protein FIZZY-RELATED 2,K03364
Citrate synthase 2,nan
Cytochrome b5 reductase 4,K00326
Tetratricopeptide repeat protein 38,nan
Fibroblast growth factor receptor homolog 2,K05126
Rho GTPase-activating protein 15,K20636
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,K04348
Protein disulfide-isomerase A4,K09582
Glutamine amidotransferase-like protein GlxB,K00820
Endoglucanase,nan
Nodulation protein S,nan
Noelin,K16364
3'-5' exoribonuclease YhaM,nan
Mitochondrial ornithine transporter 1,K15101
Tyrosine-protein phosphatase Lar,K05695
"Thioredoxin reductase 1, mitochondrial",K22182
Nucleolar complex-associated protein 3,K14834
Serine-enriched protein,K17700
60S ribosomal protein L9-A,K02940
Lipopolysaccharide core biosynthesis protein RfaG,K22614
UPF0266 membrane protein KPK_1957,nan
Odorant receptor 85b,K22984
Tyrosine-protein phosphatase non-receptor type 5,K05695
Putative uncharacterized protein,K16358
Ubiquitin-NEDD8-like protein RUB1,K12158
ABC multidrug transporter C,nan
Retrovirus-related Pol polyprotein from transposon opus,nan
2-methyl-aconitate isomerase,K01950
Craniofacial development protein 2,K11433
mRNA cap guanine-N7 methyltransferase,nan
Periodic tryptophan protein 2 homolog,K14963
Nucleolus and neural progenitor protein,nan
Stage V sporulation protein D,nan
L-proline trans-4-hydroxylase,K11517
MFS-type transporter oryC,nan
Putative uncharacterized protein,K03440
GMP synthase [glutamine-hydrolyzing],K01951
Glucose 1-dehydrogenase,K07753
Putative 115 kDa protein in type-1 retrotransposable element R1DM,K22614
LisH domain-containing protein C29A3.03c,K23333
Putative uncharacterized protein,K09113
Pyruvate formate-lyase 1-activating enzyme,nan
ABC transporter 7,nan
Neuropeptide Y receptor type 2,K04210
Solute carrier family 22 member 6-B,K08198
Manganese transport system membrane protein MntC,nan
Gustatory and odorant receptor 21a,K08471
Metabotropic glutamate receptor,K04606
Putative hydro-lyase cu1581,K22210
"Solute carrier family 2, facilitated glucose transporter member 8",K09103
ATP-dependent RNA helicase CshA,K11594
Doublesex- and mab-3-related transcription factor 2,K19489
DNA mismatch repair protein spellchecker 1,K08735
Calcium and integrin-binding family member 3,K23837
Cytochrome c4,nan
Alpha-2-macroglobulin,K15633
Ribonucleoside-diphosphate reductase subunit beta,nan
Speckle-type POZ protein A,K10477
ABC transporter ATP-binding/permease protein YojI,K05653
Uncharacterized protein YkkB,nan
Transcription factor SOX-21,K16796
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",K01900
Urea amidolyase,nan
60S ribosomal export protein NMD3,K12350
Glucose 1-dehydrogenase 1,K10402
Zinc metalloproteinase nas-1,K13047
Isocitrate lyase 1,K01637
1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,K13509
Mitochondrial GTP/GDP carrier protein 1,K15100
Rho-related GTP-binding protein Rho6,K07858
Oxidoreductase swnN,nan
Alpha-ketoglutaric semialdehyde dehydrogenase 1,K00139
Tensin-3,K18080
Transposon Tf2-11 polyprotein,K05209
Chymotrypsin-like elastase family member 2A,K09630
Krueppel-like factor 11,K13943
Aldo-keto reductase AKR2E4,K00555
"Putative transferase At1g60990, chloroplastic",nan
Transmembrane protein 184A,nan
Forkhead box protein C1,K09396
"Probable leucine--tRNA ligase, mitochondrial",K01869
Vasopressin V1a receptor,K04226
3-oxoacyl-[acyl-carrier-protein] reductase FabG,K13370
Sensory/regulatory protein RpfC,nan
General transcription factor II-I repeat domain-containing protein 2,nan
Putative uncharacterized protein,K15837
Nonribosomal peptide synthase sidC,K01102
Acyl-CoA desaturase 1,K01897
Acetyl-CoA carboxylase,nan
Coagulation factor IX,K10408
Methionine--tRNA ligase,nan
Leucine-rich repeat and calponin homology domain-containing protein 1,nan
3-hydroxy-3-methylglutaryl coenzyme A reductase mlcD,nan
Ribosomal protein S6 kinase alpha-2,K04373
Tyrosine-protein phosphatase 2,K16910
Putative uncharacterized protein,K11972
Probable carboxylesterase 18,K14349
Liver carboxylesterase 1F,K01050
D-arabinitol 2-dehydrogenase [ribulose-forming],K13370
Cell wall protein PRY3,K19867
Deoxyhypusine synthase,nan
Coactosin-like protein,K20520
50S ribosomal protein L3,nan
Protein sidekick-2,K06774
1-deoxyxylulose-5-phosphate synthase YajO,K04883
Fasciculation and elongation protein zeta-2,nan
Molybdate import ATP-binding protein MolC,K05643
Probable transcriptional regulatory protein RBAM_007230,K18189
Protein FAM200B,nan
Casein kinase I isoform epsilon,K08959
Zinc finger CCHC domain-containing protein 8 homolog,K13128
Sialin,K08193
Interferon regulatory factor 2-binding protein 2-B,K22383
Serine recombinase PinE,nan
Probable flavin reductase,nan
Phosphoglycolate phosphatase,K01097
Histone H2B 2,K05679
o-succinylbenzoate synthase,K08745
"37S ribosomal protein rsm18, mitochondrial",nan
Adenylate cyclase type 6,K08048
Venom protease,K09634
Echinoderm microtubule-associated protein-like 3,K18595
Multi-drug resistance efflux pump PmrA homolog (Fragment),nan
Uncharacterized isomerase PA2770,nan
Phosphoserine phosphatase,nan
Zinc finger protein squeeze,K23480
3-methylmercaptopropionyl-CoA dehydrogenase,K00249
Putative uncharacterized protein,K19009
Uncharacterized RNA methyltransferase BL1394,K15332
Transcriptional activator protein Pur-beta,K21772
NADH oxidase,K03334
"39S ribosomal protein L9, mitochondrial",K16686
RNA polymerase sigma factor RpoS,nan
Putative uncharacterized protein,K12383
Cytochrome P450 9e2,K15003
Farnesyl pyrophosphate synthase 1,K00787
Nucleoporin AMO1,K14321
F-box only protein 33,K10310
Alpha N-terminal protein methyltransferase 1,K16219
Guanine/hypoxanthine permease GhxP,nan
Ankyrin repeat domain-containing protein 61,K10328
Potassium voltage-gated channel subfamily H member 8,K04905
Putative uncharacterized protein,K03899
Cyclic GMP-AMP synthase,K17834
Leukocyte elastase inhibitor,K16643
DExH-box ATP-dependent RNA helicase DExH15 chloroplastic,K12599
Leucine-rich repeat-containing G-protein coupled receptor 6,K08399
Uncharacterized protein HI_0358,nan
Probable RNA-directed DNA polymerase from transposon X-element,K08834
"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",K00627
Trehalose synthase complex regulatory subunit TSL1,nan
Putative dipeptidase MCYG_02918,K01273
Serine/threonine-protein phosphatase PP-Z,K06269
Seminal metalloprotease 1,K05502
Transcriptional regulatory protein BasR,nan
Porin PorA,nan
Nucleoporin GLE2,K14298
Alanine--glyoxylate aminotransferase 2-like,K14286
Suppressor of cytokine signaling 6,K04699
ELAV-like protein 2,K13208
Probable cytochrome P450 6d2,K14999
Putative uncharacterized protein,K21776
Putative uncharacterized protein,K10170
Sperm-associated antigen 17,nan
Zinc finger protein Gfi-1b,K09228
Heat shock protein 67B1,K09542
Brain tumor protein,K11997
"Methyltransferase OMS1, mitochondrial",nan
Fimbrin,K17336
Transcription factor radR,nan
"Protocatechuate 4,5-dioxygenase beta chain",nan
Putative uncharacterized protein,K12462
Helicase SKI2W,K24014
Putative C(50) carotenoid beta-cyclase subunit A,nan
tRNA methyltransferase 10 homolog A,K15445
Endochitinase,nan
UPF0701 protein YloC,nan
Serine/threonine-protein kinase TBK1,K05410
UPF0728 protein C10orf53 homolog,nan
Putative uncharacterized protein,K13887
Brain-specific homeobox protein,nan
Ras-related GTP-binding protein B,K16185
Acetoin utilization protein AcuC,K06067
Arrestin domain-containing protein 17,K20910
Putative ABC transporter ATP-binding protein CPE1583,K05658
Endoribonuclease rege-1,K18668
Gamma-glutamyl cyclotransferase aclK,nan
Centrosome-associated zinc finger protein CP190,K22534
Putative uncharacterized protein,K14000
Radial spoke head 10 homolog B2,nan
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,nan
V-type proton ATPase subunit c,K02155
Uncharacterized protein C05D11.1,K06972
Mycothiol acetyltransferase,K22600
14-3-3 protein epsilon,K06630
LYR motif-containing protein 4,K22069
DEAD-box ATP-dependent RNA helicase CshA,K21869
Probable polyketide synthase 33,K23437
rRNA-processing protein fcf2,K14557
L-glutamine--4-(methylsulfanyl)-2-oxobutanoate aminotransferase,K00816
Ragulator complex protein LAMTOR5 homolog,K16344
Putative nuclease HARBI1,K16507
Bombyxin B-7,K04526
Pyridoxal 5'-phosphate synthase subunit pyroA,K06215
Putative uncharacterized protein,K20351
Meiotically up-regulated gene 65 protein,K22125
Alpha-amylase,nan
Putative uncharacterized protein,K17808
Ras-related and estrogen-regulated growth inhibitor-like protein,K07852
Uncharacterized isochorismatase family protein HVO_2328,nan
Protein bimA,K03350
Uncharacterized protein T26G10.4,K04257
Zinc metalloproteinase nas-15,K08606
Protein turtle homolog B,K22655
